Player,Id
Brooks Koepka,36689
Rory McIlroy,28237
Dustin Johnson,30925
Justin Rose,22405
Justin Thomas,33448
Jon Rahm,46970
Patrick Cantlay,35450
Tiger Woods,08793
Xander Schauffele,48081
Bryson DeChambeau,47959
Francesco Molinari,25198
Tony Finau,29725
Tommy Fleetwood,30911
Webb Simpson,29221
Adam Scott,24502
Patrick Reed,34360
Gary Woodland,31323
Paul Casey,25364
Rickie Fowler,32102
Matt Kuchar,23108
Shane Lowry,33204
Louis Oosthuizen,26329
Jason Day,28089
Marc Leishman,26851
Bubba Watson,25804
Hideki Matsuyama,32839
Kevin Kisner,29478
Chez Reavie,26476
Matthew Fitzpatrick,40098
Matt Wallace,48887
Henrik Stenson,21528
Ian Poulter,24138
Jordan Spieth,34046
Billy Horschel,29420
Kevin Na,25396
Keegan Bradley,33141
Abraham Ancer,45526
Brandt Snedeker,27649
Phil Mickelson,01810
Rafa Cabrera Bello,26499
Bernd Wiesberger,29454
Eddie Pepperell,34709
Sergio Garcia,21209
Andrew Putnam,34256
Tyrrell Hatton,34363
Cameron Smith,35891
Alex Noren,27349
Jim Furyk,10809
Byeong Hun An,33948
Haotong Li,35296
C.T. Pan,29908
Justin Harding,28938
Lucas Bjerregaard,33803
Jason Kokrak,30944
Sungjae Im,39971
Lee Westwood,20396
Danny Willett,32139
Jazz Janewattananond,47238
Charles Howell III,21961
J.B. Holmes,27141
Erik van Rooyen,40006
Lucas Glover,25900
Kyle Stanley,30110
Thorbjørn Olesen,33968
Kiradech Aphibarnrat,30978
Si Woo Kim,37455
Emiliano Grillo,31646
Adam Hadwin,33399
Scott Piercy,25818
Rory Sabbatini,23621
Corey Conners,39997
J.T. Poston,49771
Ryan Palmer,23320
Keith Mitchell,39546
Jorge Campillo,32367
Andrea Pavan,30756
Branden Grace,29974
Sung Kang,27974
Aaron Wise,49964
Shugo Imahira,32775
Russell Knox,33122
Ryan Moore,26596
Joaquin Niemann,45486
Thomas Pieters,33293
Tom Lewis,35104
Collin Morikawa,50525
Luke List,27129
Joel Dahmen,34076
Kevin Tway,32333
Joost Luiten,28300
Scottie Scheffler,46046
Nate Lashley,28775
Brian Harman,27644
Dylan Frittelli,29970
Martin Kaymer,27408
Kevin Streelman,27214
Benjamin Hebert,30812
Max Homa,39977
Charley Hoffman,12716
Michael Lorenzo-Vera,29772
Graeme McDowell,25572
Vaughn Taylor,23325
Ryan Fox,29936
Adri Arnaus,52096
Romain Langasque,37250
Robert MacIntyre,52215
Troy Merritt,32640
Mikko Korhonen,29370
Rikuya Hoshino,47056
Guido Migliozzi,39834
Harold Varner III,37189
Viktor Hovland,46717
Jhonattan Vegas,27064
Adrian Otaegui,34575
Andy Sullivan,35314
Kurt Kitayama,48117
Matthew Wolff,56278
Alexander Björk,34310
Chesson Hadley,34563
JC Ritchie,45847
Daniel Berger,40026
Ryo Ishikawa,30852
Calum Hill,55707
Adam Long,35449
Jimmy Walker,25632
Beau Hossler,35461
Marcus Kinhult,46404
Sanghyun Park,32797
Sam Burns,47504
Paul Waring,31113
Zach Johnson,24024
Satoshi Kodaira,32816
Danny Lee,29926
Brendan Jones,23725
Stewart Cink,20229
Julian Suri,45478
Michael Thompson,32150
Xinjun Zhang,32254
Andrew Landry,33410
Nick Watney,27095
Yuta Ikeda,26908
Russell Henley,34098
Jordan L Smith,46464
Harry Higgs,33597
David Lipsky,36326
Zack Sucher,33449
Shaun Norris,26328
Patton Kizzire,32757
Christiaan Bezuidenhout,45522
Darius Van Driel,32659
Wyndham Clark,51766
Pat Perez,24361
Ryan Armour,19803
Oliver Wilson,27506
Doc Redman,53165
Kristoffer Ventura,35658
Robby Shelton,46441
Cameron Champ,52372
Bud Cauley,34021
Denny McCarthy,47993
Thomas Detry,33653
Brian Stuard,31560
Jason Dufner,25686
Lucas Herbert,39058
Richard Sterne,24459
Jung-gon Hwang,34554
Brice Garnett,29535
Kelly Kraft,35879
Aaron Rai,46414
Charl Schwartzel,26331
Alexander Levy,34579
Ross Fisher,27896
Scott Vincent,34126
Victor Perez,47679
J.J. Spaun,39324
Scott Stallings,30692
Matt Jones,26300
Sean Crocker,39524
Dean Burmester,33974
Bronson Burgoon,29268
Masahiro Kawamura,32815
Austin Cook,46435
Peter Uihlein,29484
Sepp Straka,49960
Mikumu Horikawa,34656
Talor Gooch,46402
Brian Gay,19846
Chris Paisley,34414
Antoine Rozner,46646
Sam Horsfield,47989
Mackenzie Hughes,35506
Sebastián Muñoz,48822
Yuki Inamori,36514
Yoshinori Fujimoto,29833
Ted Potter Jr.,27556
Ryuko Tokimatsu,37249
Jason Scrivener,31569
Brandon Stone,35225
Robert Streb,34431
